"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US2141203","ZCTA5 41203, Kentucky","696"
"8710000US2141204","ZCTA5 41204, Kentucky","560"
"8710000US2141214","ZCTA5 41214, Kentucky","750"
"8710000US2141216","ZCTA5 41216, Kentucky","1297"
"8710000US2141219","ZCTA5 41219, Kentucky","2053"
"8710000US2141222","ZCTA5 41222, Kentucky","2627"
"8710000US2141224","ZCTA5 41224, Kentucky","6414"
"8710000US2141226","ZCTA5 41226, Kentucky","168"
"8710000US2141230","ZCTA5 41230, Kentucky","11730"
"8710000US2141231","ZCTA5 41231, Kentucky","1002"
"8710000US2141232","ZCTA5 41232, Kentucky","782"
"8710000US2141234","ZCTA5 41234, Kentucky","601"
"8710000US2141238","ZCTA5 41238, Kentucky","860"
"8710000US2141240","ZCTA5 41240, Kentucky","6916"
"8710000US2141250","ZCTA5 41250, Kentucky","1195"
"8710000US2141254","ZCTA5 41254, Kentucky","571"
"8710000US2141255","ZCTA5 41255, Kentucky","1036"
"8710000US2141256","ZCTA5 41256, Kentucky","2433"
"8710000US2141257","ZCTA5 41257, Kentucky","390"
"8710000US2141260","ZCTA5 41260, Kentucky","885"
"8710000US2141262","ZCTA5 41262, Kentucky","1474"
"8710000US2141263","ZCTA5 41263, Kentucky","525"
"8710000US2141264","ZCTA5 41264, Kentucky","389"
"8710000US2141265","ZCTA5 41265, Kentucky","1857"
"8710000US2141267","ZCTA5 41267, Kentucky","1245"
"8710000US2141268","ZCTA5 41268, Kentucky","395"
"8710000US2141271","ZCTA5 41271, Kentucky","237"
"8710000US2141274","ZCTA5 41274, Kentucky","585"
"8710000US2141301","ZCTA5 41301, Kentucky","6159"
"8710000US2141311","ZCTA5 41311, Kentucky","7538"
"8710000US2141314","ZCTA5 41314, Kentucky","5239"
"8710000US2141317","ZCTA5 41317, Kentucky","190"
"8710000US2141332","ZCTA5 41332, Kentucky","1184"
"8710000US2141339","ZCTA5 41339, Kentucky","10957"
"8710000US2141348","ZCTA5 41348, Kentucky","1219"
"8710000US2141352","ZCTA5 41352, Kentucky","677"
"8710000US2141360","ZCTA5 41360, Kentucky","500"
"8710000US2141365","ZCTA5 41365, Kentucky","501"
"8710000US2141366","ZCTA5 41366, Kentucky","20"
"8710000US2141367","ZCTA5 41367, Kentucky","179"
"8710000US2141385","ZCTA5 41385, Kentucky","470"
"8710000US2141390","ZCTA5 41390, Kentucky","52"
"8710000US2141397","ZCTA5 41397, Kentucky","64"
"8710000US2141408","ZCTA5 41408, Kentucky","445"
"8710000US2141421","ZCTA5 41421, Kentucky","233"
"8710000US2141425","ZCTA5 41425, Kentucky","1138"
"8710000US2141464","ZCTA5 41464, Kentucky","722"
"8710000US2141465","ZCTA5 41465, Kentucky","11979"
"8710000US2141472","ZCTA5 41472, Kentucky","10985"
"8710000US2141501","ZCTA5 41501, Kentucky","23298"
"8710000US2141503","ZCTA5 41503, Kentucky","570"
"8710000US2141512","ZCTA5 41512, Kentucky","976"
"8710000US2141513","ZCTA5 41513, Kentucky","590"
"8710000US2141514","ZCTA5 41514, Kentucky","3491"
"8710000US2141517","ZCTA5 41517, Kentucky","109"
"8710000US2141519","ZCTA5 41519, Kentucky","1108"
"8710000US2141522","ZCTA5 41522, Kentucky","5352"
"8710000US2141524","ZCTA5 41524, Kentucky","384"
"8710000US2141526","ZCTA5 41526, Kentucky","125"
"8710000US2141527","ZCTA5 41527, Kentucky","675"
"8710000US2141528","ZCTA5 41528, Kentucky","999"
"8710000US2141531","ZCTA5 41531, Kentucky","985"
"8710000US2141534","ZCTA5 41534, Kentucky","273"
"8710000US2141535","ZCTA5 41535, Kentucky","526"
"8710000US2141537","ZCTA5 41537, Kentucky","5373"
"8710000US2141538","ZCTA5 41538, Kentucky","97"
"8710000US2141539","ZCTA5 41539, Kentucky","1722"
"8710000US2141540","ZCTA5 41540, Kentucky","302"
"8710000US2141543","ZCTA5 41543, Kentucky","543"
"8710000US2141544","ZCTA5 41544, Kentucky","931"
"8710000US2141547","ZCTA5 41547, Kentucky","369"
"8710000US2141548","ZCTA5 41548, Kentucky","862"
"8710000US2141553","ZCTA5 41553, Kentucky","2288"
"8710000US2141554","ZCTA5 41554, Kentucky","1102"
"8710000US2141555","ZCTA5 41555, Kentucky","915"
"8710000US2141557","ZCTA5 41557, Kentucky","1716"
"8710000US2141558","ZCTA5 41558, Kentucky","809"
"8710000US2141559","ZCTA5 41559, Kentucky","339"
"8710000US2141560","ZCTA5 41560, Kentucky","384"
"8710000US2141562","ZCTA5 41562, Kentucky","2807"
"8710000US2141563","ZCTA5 41563, Kentucky","445"
"8710000US2141564","ZCTA5 41564, Kentucky","1159"
"8710000US2141566","ZCTA5 41566, Kentucky","714"
"8710000US2141567","ZCTA5 41567, Kentucky","369"
"8710000US2141568","ZCTA5 41568, Kentucky","1073"
"8710000US2141571","ZCTA5 41571, Kentucky","639"
"8710000US2141572","ZCTA5 41572, Kentucky","3754"
"8710000US2141601","ZCTA5 41601, Kentucky","755"
"8710000US2141602","ZCTA5 41602, Kentucky","819"
"8710000US2141603","ZCTA5 41603, Kentucky","1498"
"8710000US2141604","ZCTA5 41604, Kentucky","620"
"8710000US2141605","ZCTA5 41605, Kentucky","637"
"8710000US2141606","ZCTA5 41606, Kentucky","656"
"8710000US2141607","ZCTA5 41607, Kentucky","318"
"8710000US2141612","ZCTA5 41612, Kentucky","78"
"8710000US2141615","ZCTA5 41615, Kentucky","675"
"8710000US2141616","ZCTA5 41616, Kentucky","794"
"8710000US2141619","ZCTA5 41619, Kentucky","599"
"8710000US2141621","ZCTA5 41621, Kentucky","329"
"8710000US2141622","ZCTA5 41622, Kentucky","228"
"8710000US2141630","ZCTA5 41630, Kentucky","1230"
"8710000US2141631","ZCTA5 41631, Kentucky","1106"
"8710000US2141632","ZCTA5 41632, Kentucky","614"
"8710000US2141635","ZCTA5 41635, Kentucky","3056"
"8710000US2141636","ZCTA5 41636, Kentucky","984"
"8710000US2141640","ZCTA5 41640, Kentucky","1343"
"8710000US2141642","ZCTA5 41642, Kentucky","725"
